timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1408543570,-20.541391,38.059998,101572.0,1.2068434
1408565260,-21.043432,38.05,101578.0,1.2069147
1408578893,-20.462122,38.05,101571.0,1.2068315
1408589259,-21.455635,38.05,101582.99,1.206974
1408615210,-20.213745,38.059998,101568.0,1.2067958
1408626771,-21.455635,38.059998,101582.99,1.206974
1408639146,-20.95888,38.059998,101576.99,1.2069027
1408661269,-21.207256,38.059998,101580.0,1.2069384
1408675771,-21.624743,38.059998,101585.0,1.2069979
1408687263,-20.625946,38.059998,101573.0,1.2068553
1408709258,-21.54019,38.059998,101584.0,1.206986
1408722772,-20.541391,38.059998,101572.0,1.2068434
1408735489,-22.70281,38.059998,101598.0,1.2071524
1408759730,-22.538986,38.05,101596.0,1.2071285
1408770255,-22.290607,38.05,101593.0,1.2070929
1408783921,-20.37757,38.05,101569.99,1.2068195
1408807718,-21.207256,38.05,101580.0,1.2069384
1408819808,-20.541391,38.05,101572.0,1.2068434
1408830270,-21.207256,38.05,101580.0,1.2069384
1408853270,-20.95888,38.05,101576.99,1.2069027
1408863836,-21.207256,38.05,101580.0,1.2069384
1408874253,-20.541391,38.05,101572.0,1.2068434
1408896589,-21.207256,38.05,101580.0,1.2069384
1408908622,-21.957676,38.05,101588.99,1.2070453
1408920600,-20.541391,38.05,101572.0,1.2068434
1408943935,-21.54019,38.059998,101584.0,1.206986
1408956085,-20.293015,38.059998,101569.0,1.2068077
1408967386,-20.293015,38.059998,101569.0,1.2068077
1408992285,-18.96657,38.05,101553.0,1.2066176
1409004016,-20.462122,38.05,101571.0,1.2068315
1409015710,-22.70281,38.05,101598.0,1.2071524
1409038271,-19.796259,38.05,101563.0,1.2067364
1409050354,-21.54019,38.05,101584.0,1.206986
1409063951,-20.213745,38.05,101568.0,1.2067958
1409086291,-20.95888,38.04,101576.99,1.2069027
1409098256,-20.12919,38.04,101567.0,1.206784
1409111942,-21.455635,38.04,101582.99,1.206974
1409135337,-20.462122,38.05,101571.0,1.2068315
1409146262,-20.95888,38.05,101576.99,1.2069027
1409158270,-21.709297,38.05,101586.0,1.2070097
1409180029,-20.462122,38.05,101571.0,1.2068315
1409191769,-20.541391,38.05,101572.0,1.2068434
1409204002,-21.122702,38.05,101579.0,1.2069266
1409227273,-20.213745,38.04,101568.0,1.2067958
1409240698,-21.376366,38.04,101582.0,1.2069622
1409253260,-21.291811,38.04,101581.0,1.2069503
1409277566,-21.455635,38.04,101582.99,1.206974
1409289261,-20.541391,38.04,101572.0,1.2068434
1409301177,-20.625946,38.04,101573.0,1.2068553
1409323270,-19.960081,38.03,101565.0,1.2067602
1409334253,-19.960081,38.03,101565.0,1.2067602
1409345259,-21.122702,38.03,101579.0,1.2069266
1409368552,-22.290607,38.04,101593.0,1.2070929
1409380693,-19.711704,38.04,101562.0,1.2067245
1409392677,-20.12919,38.04,101567.0,1.206784
1409416758,-19.880812,38.04,101563.99,1.2067482
1409428781,-20.462122,38.04,101571.0,1.2068315
1409440759,-20.95888,38.04,101576.99,1.2069027
1409464547,-20.95888,38.04,101576.99,1.2069027
1409475257,-22.290607,38.04,101593.0,1.2070929
1409488654,-21.207256,38.04,101580.0,1.2069384
1409512529,-22.538986,38.04,101596.0,1.2071285
1409523257,-20.044636,38.04,101566.0,1.2067721
1409536536,-20.541391,38.04,101572.0,1.2068434
1409559260,-19.796259,38.03,101563.0,1.2067364
1409571258,-19.711704,38.03,101562.0,1.2067245
1409582317,-20.213745,38.03,101568.0,1.2067958
1409603270,-20.874325,38.03,101575.99,1.2068908
1409615253,-21.54019,38.03,101584.0,1.206986
1409626258,-22.036945,38.03,101590.0,1.2070572
1409661519,-20.874325,38.04,101575.99,1.2068908
1409673688,-21.54019,38.04,101584.0,1.206986
1409697583,-22.1215,38.03,101591.0,1.2070692
1409709357,-21.376366,38.03,101582.0,1.2069622
1409721976,-19.62715,38.03,101561.0,1.2067127
1409743270,-21.957676,38.03,101588.99,1.2070453
1409753601,-21.455635,38.03,101582.99,1.206974
1409764961,-21.788567,38.03,101587.0,1.2070216
1409789255,-20.625946,38.03,101573.0,1.2068553
1409802057,-20.541391,38.03,101572.0,1.2068434
1409813601,-21.043432,38.03,101578.0,1.2069147
1409837581,-20.874325,38.03,101575.99,1.2068908
1409849613,-21.376366,38.03,101582.0,1.2069622
1409861347,-20.874325,38.03,101575.99,1.2068908
1409885484,-23.120296,38.03,101603.0,1.2072117
1409898394,-20.7105,38.03,101574.0,1.2068671
1409909358,-21.873121,38.03,101588.0,1.2070335
1409933102,-20.541391,38.02,101572.0,1.2068434
1409945704,-20.12919,38.02,101567.0,1.206784
1409956984,-21.957676,38.02,101588.99,1.2070453
1409980956,-21.376366,38.03,101582.0,1.2069622
1409991281,-20.293015,38.03,101569.0,1.2068077
1410002843,-20.95888,38.03,101576.99,1.2069027
1410026326,-22.290607,38.03,101593.0,1.2070929
1410037305,-20.462122,38.03,101571.0,1.2068315
1410047341,-20.37757,38.03,101569.99,1.2068195
1410069385,-20.37757,38.03,101569.99,1.2068195
1410081601,-20.293015,38.03,101569.0,1.2068077
1410092934,-20.462122,38.03,101571.0,1.2068315
1410118101,-21.291811,38.03,101581.0,1.2069503
1410130843,-20.625946,38.03,101573.0,1.2068553
1410141717,-20.044636,38.03,101566.0,1.2067721
1410165977,-20.541391,38.02,101572.0,1.2068434
1410178246,-22.871918,38.02,101600.0,1.2071761
1410190121,-21.122702,38.02,101579.0,1.2069266
1410214123,-21.043432,38.02,101578.0,1.2069147
1410226393,-20.795055,38.02,101575.0,1.206879
1410238271,-20.293015,38.02,101569.0,1.2068077
1410262084,-21.376366,38.02,101582.0,1.2069622
1410272273,-20.874325,38.02,101575.99,1.2068908
1410286082,-19.62715,38.02,101561.0,1.2067127
1410310262,-21.207256,38.01,101580.0,1.2069384
1410322393,-20.37757,38.01,101569.99,1.2068195
1410334113,-21.709297,38.01,101586.0,1.2070097
1410358111,-21.376366,38.01,101582.0,1.2069622
1410368262,-21.54019,38.01,101584.0,1.206986
1410380272,-21.624743,38.01,101585.0,1.2069979
1410404264,-19.880812,38.01,101563.99,1.2067482
1410415278,-20.293015,38.01,101569.0,1.2068077
1410426391,-20.293015,38.01,101569.0,1.2068077
1410455261,-21.624743,38.01,101585.0,1.2069979
1410466599,-20.293015,38.01,101569.0,1.2068077
1410478272,-21.122702,38.01,101579.0,1.2069266
1410502907,-21.788567,38.01,101587.0,1.2070216
1410515195,-21.788567,38.01,101587.0,1.2070216
1410527185,-20.462122,38.01,101571.0,1.2068315
1410549269,-21.624743,38.0,101585.0,1.2069979
1410560289,-19.960081,38.0,101565.0,1.2067602
1410571785,-21.709297,38.0,101586.0,1.2070097
1410595234,-20.293015,38.01,101569.0,1.2068077
1410607185,-21.455635,38.01,101582.99,1.206974
1410617258,-21.122702,38.01,101579.0,1.2069266
1410641260,-22.454432,38.0,101594.99,1.2071166
1410665259,-21.043432,38.0,101578.0,1.2069147
1410689272,-21.957676,38.0,101588.99,1.2070453
1410702917,-20.625946,38.0,101573.0,1.2068553
1410713272,-21.122702,38.0,101579.0,1.2069266
1410737339,-21.455635,38.01,101582.99,1.206974
1410752798,-21.376366,38.01,101582.0,1.2069622
1410764289,-21.291811,38.01,101581.0,1.2069503
1410786837,-21.709297,38.01,101586.0,1.2070097
1410798990,-21.709297,38.01,101586.0,1.2070097
1410809259,-22.70281,38.01,101598.0,1.2071524
1410835215,-21.957676,38.0,101588.99,1.2070453
1410846860,-22.369877,38.0,101594.0,1.2071048
1410857284,-21.376366,38.0,101582.0,1.2069622
1410883769,-21.455635,38.0,101582.99,1.206974
1410895267,-19.960081,38.0,101565.0,1.2067602
1410907236,-19.880812,38.0,101563.99,1.2067482
1410930271,-21.788567,38.0,101587.0,1.2070216
1410943795,-21.624743,38.0,101585.0,1.2069979
1410957715,-22.1215,38.0,101591.0,1.2070692
1410980285,-22.538986,37.989998,101596.0,1.2071285
1410991732,-22.206053,37.989998,101592.0,1.207081
1411004098,-23.120296,37.989998,101603.0,1.2072117
1411025342,-20.7105,37.989998,101574.0,1.2068671
1411036286,-20.213745,37.989998,101568.0,1.2067958
1411047701,-21.54019,37.989998,101584.0,1.206986
1411071692,-21.624743,38.0,101585.0,1.2069979
1411084631,-21.207256,38.0,101580.0,1.2069384
1411095876,-22.70281,38.0,101598.0,1.2071524
1411118258,-21.376366,37.989998,101582.0,1.2069622
1411130261,-21.291811,37.989998,101581.0,1.2069503
1411143685,-22.871918,37.989998,101600.0,1.2071761
1411167339,-20.541391,37.989998,101572.0,1.2068434
1411180734,-19.960081,37.989998,101565.0,1.2067602
1411191387,-20.541391,37.989998,101572.0,1.2068434
1411215699,-21.455635,37.989998,101582.99,1.206974
1411226282,-21.873121,37.989998,101588.0,1.2070335
1411239696,-22.787363,37.989998,101599.0,1.2071642
1411262283,-21.624743,38.0,101585.0,1.2069979
1411274257,-22.036945,38.0,101590.0,1.2070572
1411286257,-22.036945,38.0,101590.0,1.2070572
1411311789,-22.206053,37.989998,101592.0,1.207081
1411322258,-21.788567,37.989998,101587.0,1.2070216
1411334270,-21.788567,37.989998,101587.0,1.2070216
1411356281,-20.795055,37.989998,101575.0,1.206879
1411367322,-20.795055,37.989998,101575.0,1.206879
1411380016,-22.036945,37.989998,101590.0,1.2070572
1411402270,-21.873121,37.989998,101588.0,1.2070335
1411415693,-20.95888,37.989998,101576.99,1.2069027
1411427981,-21.207256,37.989998,101580.0,1.2069384
1411451259,-20.541391,37.989998,101572.0,1.2068434
1411464401,-22.369877,37.989998,101594.0,1.2071048
1411477459,-20.95888,37.989998,101576.99,1.2069027
1411501521,-21.957676,37.989998,101588.99,1.2070453
1411525142,-21.788567,37.989998,101587.0,1.2070216
1411548815,-22.290607,37.989998,101593.0,1.2070929
1411560494,-21.376366,37.989998,101582.0,1.2069622
1411571256,-21.122702,37.989998,101579.0,1.2069266
1411595261,-23.120296,37.98,101603.0,1.2072117
1411608483,-20.625946,37.98,101573.0,1.2068553
1411620399,-21.122702,37.98,101579.0,1.2069266
1411644656,-21.291811,37.989998,101581.0,1.2069503
1411656499,-21.376366,37.989998,101582.0,1.2069622
1411667260,-20.795055,37.989998,101575.0,1.206879
1411695270,-21.455635,37.98,101582.99,1.206974
1411707283,-21.873121,37.98,101588.0,1.2070335
1411719261,-20.37757,37.98,101569.99,1.2068195
1411744497,-21.54019,37.98,101584.0,1.206986
1411756445,-20.95888,37.98,101576.99,1.2069027
1411768566,-20.462122,37.98,101571.0,1.2068315
1411791256,-22.623539,37.969997,101597.0,1.2071404
1411803265,-20.541391,37.969997,101572.0,1.2068434
1411815256,-20.95888,37.969997,101576.99,1.2069027
1411837258,-20.625946,37.969997,101573.0,1.2068553
1411848636,-20.541391,37.969997,101572.0,1.2068434
1411859270,-21.291811,37.969997,101581.0,1.2069503
1411889534,-20.293015,37.98,101569.0,1.2068077
1411901786,-20.795055,37.98,101575.0,1.206879
1411913280,-20.874325,37.98,101575.99,1.2068908
1411937274,-20.37757,37.969997,101569.99,1.2068195
1411950039,-20.37757,37.969997,101569.99,1.2068195
1411961319,-20.541391,37.969997,101572.0,1.2068434
1411982253,-22.1215,37.969997,101591.0,1.2070692
1411994186,-21.455635,37.969997,101582.99,1.206974
1412006121,-20.95888,37.969997,101576.99,1.2069027
1412041338,-19.711704,37.969997,101562.0,1.2067245
1412053574,-21.873121,37.969997,101588.0,1.2070335
1412077565,-20.795055,37.969997,101575.0,1.206879
1412088931,-20.7105,37.969997,101574.0,1.2068671
1412126278,-21.291811,37.969997,101581.0,1.2069503
1412137279,-20.37757,37.969997,101569.99,1.2068195
1412149591,-20.625946,37.969997,101573.0,1.2068553
1412174534,-20.213745,37.96,101568.0,1.2067958
1412185264,-20.7105,37.96,101574.0,1.2068671
1412195253,-21.207256,37.96,101580.0,1.2069384
1412217361,-20.37757,37.969997,101569.99,1.2068195
1412227268,-21.455635,37.969997,101582.99,1.206974
1412238562,-21.957676,37.969997,101588.99,1.2070453
1412261616,-21.788567,37.98,101587.0,1.2070216
1412272928,-21.873121,37.98,101588.0,1.2070335
1412285202,-20.795055,37.98,101575.0,1.206879
1412310045,-21.043432,37.969997,101578.0,1.2069147
1412322418,-21.709297,37.969997,101586.0,1.2070097
1412334396,-20.541391,37.969997,101572.0,1.2068434
1412357994,-20.7105,37.96,101574.0,1.2068671
1412370105,-21.709297,37.96,101586.0,1.2070097
1412380260,-20.7105,37.96,101574.0,1.2068671
1412407186,-20.12919,37.969997,101567.0,1.206784
1412417960,-21.376366,37.969997,101582.0,1.2069622
1412430569,-20.462122,37.969997,101571.0,1.2068315
1412454716,-20.95888,37.96,101576.99,1.2069027
1412466260,-21.624743,37.96,101585.0,1.2069979
1412478407,-19.796259,37.96,101563.0,1.2067364
1412502386,-19.880812,37.96,101563.99,1.2067482
1412524260,-22.1215,37.96,101591.0,1.2070692
1412548260,-20.044636,37.969997,101566.0,1.2067721
1412562305,-20.795055,37.969997,101575.0,1.206879
1412574795,-21.788567,37.969997,101587.0,1.2070216
1412598393,-20.874325,37.96,101575.99,1.2068908
1412615135,-21.207256,37.96,101580.0,1.2069384
