timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
1420824238,32767,32767,32767,32767,32767,32767,-50,-50
1420828238,32767,32767,-49,32767,32767,32767,32767,32767
1420832240,32767,32767,32767,32767,-69,32767,32767,32767
1420836238,32767,-28,32767,-28,32767,32767,32767,32767
1420840238,32767,32767,32767,32767,32767,-61,32767,32767
1420844238,32767,32767,32767,32767,-63,32767,-65,-65
1420848238,32767,32767,32767,32767,32767,32767,32767,32767
1420852238,32767,32767,32767,32767,32767,32767,32767,32767
1420856239,32767,32767,32767,32767,32767,32767,32767,32767
1420860238,32767,32767,32767,32767,32767,-50,32767,32767
1420864241,32767,32767,32767,32767,32767,32767,32767,32767
1420868238,32767,32767,32767,32767,-66,32767,32767,32767
1420872238,32767,32767,32767,32767,32767,32767,32767,32767
1420876238,32767,32767,32767,32767,32767,32767,32767,32767
1420880238,32767,32767,32767,32767,-71,-50,-79,-79
1420884269,32767,32767,32767,32767,32767,32767,32767,32767
1420888238,32767,32767,32767,32767,32767,32767,32767,32767
1420892238,32767,32767,32767,32767,-62,32767,32767,32767
1420896238,32767,32767,32767,32767,32767,32767,-44,-44
1420900238,32767,32767,32767,32767,32767,32767,32767,32767
1420904238,32767,32767,32767,32767,32767,-64,32767,32767
1420908238,32767,32767,32767,32767,32767,32767,32767,32767
1420912238,32767,32767,32767,32767,32767,32767,32767,32767
1420916238,32767,32767,32767,32767,-60,32767,32767,32767
1420920238,32767,32767,32767,32767,32767,32767,-58,-58
1420924239,32767,32767,32767,32767,32767,32767,32767,32767
1420928238,32767,32767,32767,32767,-69,-60,32767,32767
1420932238,32767,32767,32767,32767,32767,32767,32767,32767
1420936239,32767,32767,32767,32767,32767,32767,-67,-67
1420940238,32767,-32,32767,-32,32767,32767,32767,32767
1420944238,32767,32767,32767,32767,-65,32767,32767,32767
1420948238,32767,32767,32767,32767,32767,32767,32767,32767
1420952238,32767,32767,32767,32767,32767,32767,32767,32767
1420956238,32767,32767,32767,32767,32767,-55,32767,32767
1420960238,32767,32767,32767,32767,32767,32767,32767,32767
1420964238,32767,32767,32767,32767,32767,32767,32767,32767
1420968238,32767,32767,32767,32767,-73,32767,32767,32767
1420972238,32767,32767,32767,32767,32767,32767,-77,-77
1420976238,32767,32767,32767,32767,32767,32767,32767,32767
