timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1439142776,1439142638,0.009021263,-0.032650277,0.036716692,0.6794022,0.0,0.0,0.0,-1.0
1439242990,1439242638,0.0056523746,-0.024246745,0.033099405,0.6777397,0.0,0.0,0.0,-1.0
1439347621,1439347438,0.008006174,-0.0536026,0.029114839,0.67669266,0.0,0.0,0.0,-1.0
1439447621,1439447438,0.009330058,-0.03949207,0.02880251,0.6795153,0.0,0.0,0.0,-1.0
1439547633,1439547438,0.00952907,-0.018986514,0.021711605,0.68207574,0.0,0.0,0.0,-1.0
1439651629,1439651440,0.0098507255,-0.038991775,0.020958893,0.6777306,0.0,0.0,0.0,-1.0
1439752431,1439752239,0.0052822493,-0.022911673,0.01794277,0.6799314,0.0,0.0,0.0,-1.0
1439852427,1439852238,0.009627577,-0.026225902,0.0147215165,0.67873573,0.0,0.0,0.0,-1.0
1439956432,1439956240,0.008207248,-0.027451808,0.016202139,0.67993516,0.0,0.0,0.0,-1.0
1440056435,1440056240,0.010525707,-0.04234586,0.01500009,0.67921036,0.0,0.0,0.0,-1.0
1440157232,1440157038,0.007896449,-0.027826238,0.017870832,0.68057823,0.0,0.0,0.0,-1.0
1440261224,1440261039,0.010945355,-0.03865167,0.015186312,0.679863,0.0,0.0,0.0,-1.0
1440361321,1440361038,0.0069705537,-0.03182912,0.021389961,0.6776855,0.0,0.0,0.0,-1.0
1440461261,1440461061,0.011400813,-0.014773722,0.02026764,0.6825364,0.0,0.0,0.0,-1.0
1440566037,1440565838,0.007231209,-0.03353006,0.021297824,0.6777233,0.0,0.0,0.0,-1.0
1440666028,1440665838,0.01756731,-0.016129674,0.019240003,0.67827743,0.0,0.0,0.0,-1.0
1440766051,1440765841,0.013884439,-0.026452543,0.021782197,0.67933244,0.0,0.0,0.0,-1.0
1440866032,1440865839,0.012696063,-0.044278406,0.023245648,0.6784424,0.0,0.0,0.0,-1.0
1440970779,1440970638,0.016981557,-0.017042382,0.02110399,0.6771917,0.0,0.0,0.0,-1.0
1441070821,1441070638,0.010608794,-0.03535382,0.022492168,0.67390937,0.0,0.0,0.0,-1.0
1441174776,1441174638,0.01581061,-0.02020079,0.02586,0.68099314,0.0,0.0,0.0,-1.0
1441274821,1441274638,0.008842773,-0.03270839,0.021716826,0.6781309,0.0,0.0,0.0,-1.0
1441375586,1441375439,0.014456979,-0.04005046,0.019831903,0.67232937,0.0,0.0,0.0,-1.0
1441479659,1441479438,0.012062294,-0.024371024,0.021718174,0.6830651,0.0,0.0,0.0,-1.0
1441579645,1441579438,0.012919268,-0.026100269,0.020749167,0.67986304,0.0,0.0,0.0,-1.0
1441679621,1441679438,0.016886463,-0.011785029,0.015795577,0.6819152,0.0,0.0,0.0,-1.0
1441779578,1441779439,0.0149808405,-0.03134951,0.012904242,0.67592186,0.0,0.0,0.0,-1.0
1441884402,1441884246,0.016668843,-0.018212305,0.016391918,0.679412,0.0,0.0,0.0,-1.0
1441984448,1441984238,0.01815765,-0.03105235,0.013807486,0.67989904,0.0,0.0,0.0,-1.0
1442088425,1442088238,0.015035075,-0.039673,0.011791862,0.676927,0.0,0.0,0.0,-1.0
1442189228,1442189039,0.017958252,-0.017863082,0.011205824,0.6833643,0.0,0.0,0.0,-1.0
1442289234,1442289038,0.018876769,-0.018081693,0.009628164,0.6780169,0.0,0.0,0.0,-1.0
1442389249,1442389038,0.016850982,-0.030525854,0.010152575,0.67724806,0.0,0.0,0.0,-1.0
1442493286,1442493084,0.014089128,-0.03733492,0.011335266,0.68052095,0.0,0.0,0.0,-1.0
1442593228,1442593038,0.01721187,-0.034732085,0.010242466,0.67619973,0.0,0.0,0.0,-1.0
1442694037,1442693838,0.013487511,-0.02524452,0.009597068,0.6777616,0.0,0.0,0.0,-1.0
1442797976,1442797838,0.018850181,-0.010333361,0.0073486585,0.67776674,0.0,0.0,0.0,-1.0
1442898021,1442897838,0.008101583,-0.03160912,0.009562467,0.67822903,0.0,0.0,0.0,-1.0
1442998830,1442998639,0.010983275,-0.033993144,0.013596067,0.68014354,0.0,0.0,0.0,-1.0
1443102827,1443102638,0.009742866,-0.03992368,0.012593451,0.67371875,0.0,0.0,0.0,-1.0
1443202916,1443202638,0.012552531,-0.023777535,0.015678953,0.6764131,0.0,0.0,0.0,-1.0
1443302827,1443302638,0.010745434,-0.033061367,0.015990049,0.6782645,0.0,0.0,0.0,-1.0
1443406778,1443406638,0.010557126,-0.03520176,0.015386401,0.6794817,0.0,0.0,0.0,-1.0
1443507583,1443507439,-0.0019001521,-0.04683424,0.018688368,0.6792678,0.0,0.0,0.0,-1.0
1443607585,1443607438,0.0042051217,-0.029561784,0.017542321,0.6823343,0.0,0.0,0.0,-1.0
1443711636,1443711438,0.010986813,-0.036268882,0.024022713,0.6809473,0.0,0.0,0.0,-1.0
1443811584,1443811438,0.011133595,-0.024776215,0.021440852,0.682862,0.0,0.0,0.0,-1.0
1443912434,1443912239,0.00785943,-0.02755942,0.021564625,0.68065935,0.0,0.0,0.0,-1.0
1444016424,1444016238,-0.005077881,-0.03293893,0.02418087,0.6812123,0.0,0.0,0.0,-1.0
1444116383,1444116238,-0.00057642325,-0.04408491,0.022094369,0.67813784,0.0,0.0,0.0,-1.0
1444216422,1444216238,0.020134374,-0.036526114,0.021912236,0.68928903,0.0,0.0,0.0,-1.0
1444321233,1444321038,-0.0012644022,-0.04123286,0.02461094,0.6827209,0.0,0.0,0.0,-1.0
1444421217,1444421038,0.002461926,-0.030341476,0.024793118,0.67559826,0.0,0.0,0.0,-1.0
1444521440,1444521058,0.00047837768,-0.027992532,0.026047451,0.67509985,0.0,0.0,0.0,-1.0
1444625331,1444625038,0.004958841,-0.033032127,0.026648292,0.6755436,0.0,0.0,0.0,-1.0
1444725976,1444725838,-0.003034443,-0.02827584,0.023789216,0.67317206,0.0,0.0,0.0,-1.0
1444826028,1444825838,0.0615985,-0.001731738,0.02444594,0.6756984,0.0,0.0,0.0,-1.0
