timestamp,noutputs,output[0],output[1],output[2],output[3],output[4],output[5],output[6],output[7],output[8],output[9],output[10],output[11],output[12],output[13],output[14],output[15]
1418833404,4,1678.064,1733.1708,1615.7673,1664.6516,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1418933332,4,1692.6991,1726.4343,1627.9066,1659.333,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419037258,4,1697.9257,1724.5756,1633.8132,1651.1719,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419137261,4,1690.0541,1725.3369,1631.2573,1655.6595,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419237366,4,1691.922,1727.2532,1633.7626,1655.881,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419342151,4,1676.672,1728.5624,1627.7427,1671.3345,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419442135,4,1681.3896,1721.2847,1636.6946,1662.9907,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419542051,4,1672.8638,1722.3279,1632.5238,1666.7339,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419646054,4,1682.2864,1724.3156,1641.1349,1665.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419746941,4,1678.8877,1726.7808,1639.4971,1665.2292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419847815,4,1677.2482,1723.4385,1636.3837,1666.281,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1419950927,4,1677.7034,1716.3959,1637.1648,1661.2064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420050861,4,1683.4729,1717.7749,1639.9618,1662.5238,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420150939,4,1671.8375,1728.1908,1633.949,1666.2244,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420255652,4,1687.08,1716.7117,1638.302,1657.7769,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420355728,4,1689.5905,1721.8446,1642.0792,1656.2668,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420455727,4,1689.9694,1722.7366,1640.3368,1656.1355,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420555726,4,1683.5615,1727.9182,1633.5154,1655.0198,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420661675,4,1681.0668,1719.2842,1634.8835,1647.2822,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420760452,4,1694.9365,1714.6323,1644.3772,1644.6166,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420864545,4,1690.6134,1724.9718,1628.5781,1652.8042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1420964530,4,1687.557,1720.3969,1632.4323,1649.9795,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1421065343,4,1690.296,1726.4017,1627.2173,1655.4016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
