timestamp,remote_timestamp,observed_offset,estimated_offset,round_trip_time
1422015776,1550508361251949,-1550506939243492,-1550506939240465,14625
1422124673,1550508361362027,-1550506939249063,-1550506939240465,22967
1422342513,1550508361580178,-1550506939258504,-1550506939240465,41671
1422437640,1550508361672456,-1550506939250507,-1550506939240465,31359
1422528719,1550508361763684,-1550506939248387,-1550506939240465,26295
1422639284,1550508361875118,-1550506939254470,-1550506939240465,37256
1422728673,1550508361965398,-1550506939248076,-1550506939240465,22695
1422823703,1550508362057306,-1550506939243874,-1550506939240465,20529
1422931280,1550508362166837,-1550506939249579,-1550506939240465,28030
1423022277,1550508362259131,-1550506939244540,-1550506939240465,15357
1423131943,1550508362369139,-1550506939250008,-1550506939240465,24831
1423226393,1550508362462238,-1550506939245061,-1550506939240465,18417
1423351708,1550508362587228,-1550506939255441,-1550506939240465,39835
1423440711,1550508362678329,-1550506939252123,-1550506939240465,29002
1423532548,1550508362770411,-1550506939247827,-1550506939240465,19915
1423644345,1550508362880907,-1550506939250507,-1550506939240465,27883
1423736351,1550508362972913,-1550506939246925,-1550506939240465,20041
1423847794,1550508363084167,-1550506939251676,-1550506939240465,30601
1423939553,1550508363176184,-1550506939246268,-1550506939240465,19260
1424050291,1550508363285798,-1550506939250590,-1550506939240465,30152
1424140003,1550508363376402,-1550506939245620,-1550506939240465,18428
1424268110,1550508363503929,-1550506939257174,-1550506939240465,42705
1424359717,1550508363595174,-1550506939252967,-1550506939240465,34527
1424470281,1550508363704925,-1550506939255005,-1550506939240465,40717
1424541326,1550508363778929,-1550506939243410,-1550506939240465,11608
1424656313,1550508363891793,-1550506939248761,-1550506939240465,26556
1424760569,1550508363998479,-1550506939251084,-1550506939240465,26341
1424854280,1550508364089976,-1550506939245864,-1550506939240465,20321
1424946166,1550508364182188,-1550506939240087,-1550506939240457,8095
1425091295,1550508364326912,-1550506939261674,-1550506939240457,52101
1425181425,1550508364418580,-1550506939258458,-1550506939240457,42599
1425275300,1550508364510174,-1550506939249007,-1550506939240457,28259
1425366213,1550508364602439,-1550506939247848,-1550506939240457,23236
1425474754,1550508364712296,-1550506939250620,-1550506939240457,26148
1425568697,1550508364803504,-1550506939245777,-1550506939240457,21081
1425676500,1550508364914417,-1550506939248245,-1550506939240457,20643
1425770678,1550508365006346,-1550506939244598,-1550506939240457,17855
1425971555,1550508365208617,-1550506939244659,-1550506939240457,15186
1426098733,1550508365333975,-1550506939254449,-1550506939240457,38406
1426191844,1550508365427352,-1550506939249203,-1550506939240457,27383
1426300554,1550508365536384,-1550506939253396,-1550506939240457,34632
1426392686,1550508365628183,-1550506939247525,-1550506939240457,24050
1426504701,1550508365738649,-1550506939249603,-1550506939240457,31304
1426594274,1550508365830184,-1550506939245098,-1550506939240457,18371
1426704541,1550508365940863,-1550506939250015,-1550506939240457,27378
1426797712,1550508366032554,-1550506939244495,-1550506939240457,19300
1426922741,1550508366159386,-1550506939257214,-1550506939240457,40260
1427014267,1550508366250588,-1550506939250913,-1550506939240457,29177
1427107288,1550508366342545,-1550506939245448,-1550506939240457,20362
1427215274,1550508366452532,-1550506939249526,-1550506939240457,24530
1427309425,1550508366544218,-1550506939243723,-1550506939240457,17846
1427418179,1550508366655323,-1550506939248618,-1550506939240457,22935
1427620521,1550508366856743,-1550506939246800,-1550506939240457,20659
1427748285,1550508366983216,-1550506939257239,-1550506939240457,44609
1427837275,1550508367074049,-1550506939253478,-1550506939240457,33403
1427929343,1550508367166180,-1550506939247086,-1550506939240457,20491
1428022907,1550508367258002,-1550506939242621,-1550506939240457,15044
1428131511,1550508367368292,-1550506939248368,-1550506939240457,23169
1428244560,1550508367478419,-1550506939249562,-1550506939240457,30428
1428335089,1550508367570567,-1550506939247147,-1550506939240457,23332
1428424345,1550508367662081,-1550506939243522,-1550506939240457,11559
1428535744,1550508367773323,-1550506939246794,-1550506939240457,18423
1428626524,1550508367864373,-1550506939242664,-1550506939240458,9590
1428755314,1550508367990953,-1550506939252701,-1550506939240458,34116
1428845338,1550508368083113,-1550506939249442,-1550506939240458,23329
1428936739,1550508368173626,-1550506939244074,-1550506939240458,14369
1429047288,1550508368284300,-1550506939248323,-1550506939240458,22616
1429249220,1550508368486211,-1550506939245980,-1550506939240458,17971
1429361568,1550508368596000,-1550506939247928,-1550506939240458,26494
1429453347,1550508368688870,-1550506939242721,-1550506939240458,14389
1429577616,1550508368814927,-1550506939254170,-1550506939240458,33713
1429668505,1550508368906228,-1550506939250506,-1550506939240458,25558
1429760458,1550508368997800,-1550506939243546,-1550506939240458,12395
1429871044,1550508369108314,-1550506939247300,-1550506939240458,20047
1429983853,1550508369218483,-1550506939250699,-1550506939240458,30847
1430075351,1550508369310182,-1550506939244253,-1550506939240458,18836
1430185316,1550508369420613,-1550506939247556,-1550506939240458,24510
1430275187,1550508369512495,-1550506939244632,-1550506939240458,14640
1430403990,1550508369638144,-1550506939253450,-1550506939240458,38587
1430492748,1550508369729599,-1550506939249975,-1550506939240458,26243
1430586553,1550508369821308,-1550506939243728,-1550506939240458,17428
1430694498,1550508369932638,-1550506939248727,-1550506939240458,21166
1430788667,1550508370023625,-1550506939240670,-1550506939240458,11411
1430898452,1550508370135933,-1550506939248240,-1550506939240458,21510
1431010298,1550508370246056,-1550506939249941,-1550506939240458,28352
1431135307,1550508370372148,-1550506939261254,-1550506939240458,48810
1431225462,1550508370462555,-1550506939257490,-1550506939240458,40276
1431319347,1550508370555484,-1550506939252810,-1550506939240458,33338
1431409473,1550508370647047,-1550506939246815,-1550506939240458,18477
1431501645,1550508370738105,-1550506939242170,-1550506939240458,11415
1431613477,1550508370849212,-1550506939245284,-1550506939240458,19092
1431816635,1550508371050135,-1550506939242120,-1550506939240458,16473
1431904533,1550508371142376,-1550506939240771,-1550506939240452,5814
1432051288,1550508371287448,-1550506939261729,-1550506939240452,51130
1432108330,1550508371344233,-1550506939238852,-1550506939240441,5857
1432235285,1550508371470257,-1550506939250706,-1550506939240441,31462
1432324420,1550508371562238,-1550506939248077,-1550506939240441,20512
1432417305,1550508371653669,-1550506939241078,-1550506939240437,9386
1432529305,1550508371763929,-1550506939245383,-1550506939240437,21510
1432619831,1550508371856028,-1550506939241377,-1550506939240437,10355
1432728577,1550508371966197,-1550506939245190,-1550506939240437,15127
1432841332,1550508372077184,-1550506939249459,-1550506939240437,27200
1432930509,1550508372168018,-1550506939243754,-1550506939240437,12482
1433061557,1550508372294677,-1550506939257943,-1550506939240437,45216
1433149212,1550508372386559,-1550506939254975,-1550506939240437,35248
1433240445,1550508372477560,-1550506939250293,-1550506939240437,26351
1433335272,1550508372569874,-1550506939245126,-1550506939240437,21040
1433442500,1550508372679833,-1550506939251324,-1550506939240437,27975
1433535475,1550508372770773,-1550506939245520,-1550506939240437,20438
1433626365,1550508372862866,-1550506939242542,-1550506939240437,11129
1433737716,1550508372973483,-1550506939247448,-1550506939240437,23354
1433833612,1550508373065359,-1550506939241417,-1550506939240437,19326
1433920299,1550508373156904,-1550506939239306,-1550506939240427,5361
1434030279,1550508373268006,-1550506939244856,-1550506939240427,14251
1434158431,1550508373393065,-1550506939255971,-1550506939240427,42667
1434248305,1550508373485620,-1550506939253733,-1550506939240427,32823
1434341274,1550508373577277,-1550506939248644,-1550506939240427,25277
1434433289,1550508373668284,-1550506939243970,-1550506939240427,17943
1434524733,1550508373760471,-1550506939241403,-1550506939240427,10682
1434635391,1550508373870951,-1550506939245418,-1550506939240427,19701
1434726274,1550508373962244,-1550506939241084,-1550506939240427,10223
1434836447,1550508374072062,-1550506939247238,-1550506939240427,23241
1434926317,1550508374163897,-1550506939242578,-1550506939240427,9957
