timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
1425427314,1550508364600302,559814950,180162046,14622192,14652760,125.600006,3.1415925,4294967.5,3751157.5,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1425624319,1550508364800302,559812393,180183419,14622106,14652672,125.617004,3.1415925,4294967.5,3751158.0,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1425825357,1550508365000347,559267207,189249004,14604492,14633734,126.24701,3.1415925,4294967.5,3751161.0,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1426024762,1550508365200435,558078722,206026788,14565032,14592402,127.467,3.1415925,4294967.5,3751166.2,99.99,99.99,100,90,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1426224657,1550508365400435,557674631,211064419,14551245,14578333,127.86001,3.1415925,4294967.5,3751168.2,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1426424451,1550508365600435,557671382,211085405,14551133,14578220,127.878006,3.1415925,4294967.5,3751168.8,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1426624556,1550508365800435,557668131,211106391,14551021,14578107,127.895004,3.1415925,4294967.5,3751169.2,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1426823336,1550508366000508,556996565,218949993,14528062,14554709,128.514,3.1415925,4294967.5,3751172.0,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1427023393,1550508366199508,556509920,224278055,14511392,14537741,128.94801,3.1415925,4294967.5,3751174.0,99.99,99.99,100,89,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1427225658,1550508366399789,552350977,262141381,14368103,14392284,132.136,3.1415925,4294967.5,3751186.0,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1427423378,1550508366599844,551370735,269672052,14334153,14357887,132.81801,3.1415925,4294967.5,3751189.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1427624361,1550508366796438,550344204,277165065,14298538,14321820,133.507,3.1415925,4294967.5,3751192.2,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1427823317,1550508366996334,548159552,292009391,14222552,14244908,134.88301,3.1415925,4294967.5,3751197.5,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1428029421,1550508367200333,548154442,292029270,14222373,14244728,134.90001,3.1415925,4294967.5,3751198.5,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1428233302,1550508367400277,546853395,300257556,14177008,14198827,135.68301,3.1415925,4294967.5,3751201.8,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1428429392,1550508367600220,545414018,308919990,14126938,14147961,136.515,3.1415925,4294967.5,3751205.2,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1428628831,1550508367800220,545408650,308939093,14126750,14147771,136.531,3.1415925,4294967.5,3751205.8,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1428827359,1550508368000220,545403280,308958200,14126562,14147581,136.548,3.1415925,4294967.5,3751206.2,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1429027337,1550508368200220,545397909,308977307,14126373,14147391,136.565,3.1415925,4294967.5,3751206.8,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1429227367,1550508368400276,546827455,300354096,14176100,14197911,135.766,3.1415925,4294967.5,3751204.5,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1429427321,1550508368600276,546822262,300373409,14175918,14197727,135.783,3.1415925,4294967.5,3751205.0,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1429627321,1550508368800276,546817071,300392716,14175737,14197544,135.8,3.1415925,4294967.5,3751205.8,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1429828384,1550508369000219,545376417,309053733,14125619,14146631,136.63101,3.1415925,4294967.5,3751209.5,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1430027316,1550508369200219,545371045,309072831,14125431,14146441,136.64801,3.1415925,4294967.5,3751210.0,99.99,99.99,100,94,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1430227770,1550508369400219,545365670,309091933,14125242,14146251,136.66501,3.1415925,4294967.5,3751210.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1430428349,1550508369600263,546489698,302351580,14164352,14185982,136.043,3.1415925,4294967.5,3751208.8,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1430626391,1550508369800160,543763193,318236547,14069371,14089517,137.565,3.1415925,4294967.5,3751214.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1430826382,1550508370000101,541990094,327860752,14007410,14026620,138.50401,3.1415925,4294967.5,3751218.5,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1431027319,1550508370200101,541984330,327879386,14007207,14026415,138.52,3.1415925,4294967.5,3751219.0,99.99,99.99,100,95,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1431227320,1550508370400202,544912897,311668718,14109463,14130232,136.983,3.1415925,4294967.5,3751214.0,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1431427320,1550508370600263,546463522,302447871,14163435,14185058,136.127,3.1415925,4294967.5,3751211.2,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1431627380,1550508370800432,550186554,278012848,14293042,14316276,133.88701,3.1415925,4294967.5,3751203.5,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1431827543,1550508371003790,552308105,262148025,14366594,14390781,132.48901,3.1415925,4294967.5,3751199.0,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1432023472,1550508371199737,553232456,254637293,14398552,14423179,131.85101,3.1415925,4294967.5,3751196.5,99.99,99.99,100,96,0.0,0.0,0.0,0.0,0.0,0,0,0,0
1432223351,1550508371399633,554995931,239025738,14459358,14484882,130.548,3.1415925,4294967.5,3751192.8,99.99,99.99,100,92,0.0,0.0,0.0,0.0,0.0,0,0,0,0
