timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
1458938263,0.03989726,0.045559123,0.0030234584,-0.99993974,0.009415231,-0.0027526193,-0.0049381633,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1458970217,0.087991655,0.046244677,-0.044029906,-0.99995226,0.008095212,-0.002756996,-0.004729164,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459002411,0.05052045,-0.0003854069,-0.024696814,-0.99996144,0.0071372176,-0.0025542001,-0.004439161,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459034475,-0.004613301,-0.060469236,-0.016144145,-0.9999639,0.0069917315,-0.0023405128,-0.0042339666,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459066389,0.03591205,0.08979651,0.0018849948,-0.99996597,0.0067064385,-0.0026373097,-0.0040240656,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459098388,-0.010069562,-0.12153894,0.020486798,-0.9999689,0.006413315,-0.002557615,-0.0038367552,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459130484,0.03517926,0.21579878,-0.014192551,-0.99997026,0.0061335433,-0.0029933578,-0.0036157994,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459158406,0.017064909,0.2071219,0.0030423268,-0.9999716,0.0060647493,-0.002911803,-0.0034173438,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459190460,0.033159297,-0.020587012,-0.025632495,-0.99997455,0.0058188247,-0.0026377768,-0.0031761334,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459223248,0.019898687,0.04678205,-0.017802645,-0.9999759,0.0056500672,-0.002650071,-0.0030454716,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459287246,-0.009042224,-0.03011023,0.010320971,-0.9999809,0.005152734,-0.002006969,-0.0027587388,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459319210,0.007074672,-0.046789832,0.017838636,-0.9999817,0.005192847,-0.0016517873,-0.0026625022,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459351085,0.104254365,0.10508674,-0.019255174,-0.9999862,0.0043186983,-0.0016780903,-0.002489689,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459383220,-0.022612737,-0.18644571,-0.008659985,-0.9999884,0.004036792,-0.0012840689,-0.0023273851,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459415010,-0.0025895021,0.06520817,-0.00595421,-0.9999878,0.0041940175,-0.0014439229,-0.0021754527,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459447042,0.03336902,-0.024014553,0.008760069,-0.99998885,0.004003073,-0.0015257623,-0.0019841408,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459479375,-0.019254798,0.024852203,0.00087498623,-0.99998957,0.0038020106,-0.0017974651,-0.001798505,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459511177,0.023492452,0.054869387,-0.033720076,-0.99998903,0.0038523958,-0.002227639,-0.0015219875,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459543203,0.004450674,-0.047931314,-0.062935755,-0.9999894,0.0037884603,-0.0023962408,-0.0011086998,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459575243,-0.038101926,0.18994114,-0.03718269,-0.9999846,0.0039048707,-0.0038950604,-0.0005804926,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459607038,-0.025020055,0.20838997,-0.03469282,-0.9999536,0.0042687105,-0.008637886,5.6018096e-05,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459639178,0.041601345,0.1771721,-0.03479516,-0.99991643,0.0039463327,-0.012294627,0.00076362654,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459672046,0.026924934,0.0503527,-0.07943384,-0.99990636,0.003323667,-0.01318586,0.0016093748,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459703979,0.0019354764,-0.16223277,-0.10081607,-0.99991375,0.0032068465,-0.012451044,0.0026894384,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459736043,0.023851454,0.10949987,-0.04248921,-0.9999175,0.0032936903,-0.011856027,0.0037007304,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459768051,0.010175512,-0.05572325,-0.087459914,-0.99992144,0.0027129722,-0.0112427585,0.004851451,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459795813,-0.020617645,-0.11871103,-0.0600241,-0.99991965,0.0027519513,-0.01085149,0.0059584593,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459828021,0.021589652,-0.031127352,-0.05220689,-0.9999154,0.0027241542,-0.010426765,0.0072768,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459860017,0.068157434,-0.042393185,-0.094117135,-0.99991447,0.0018648867,-0.009583326,0.008701856,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459891988,0.026444864,-0.044793017,-0.084906496,-0.99990886,0.0011693798,-0.008808731,0.010165446,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459924017,-0.042059463,-0.083778866,-0.09239217,-0.9999001,0.0013301027,-0.008042132,0.01155082,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459956044,-0.0007769542,-0.0972364,-0.092025675,-0.99988526,0.0012985466,-0.007686555,0.01298804,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1459987975,-0.050691716,0.015854098,-0.06496042,-0.99986875,0.0014218375,-0.0074669817,0.014313758,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460015990,-0.030453358,0.08436877,-0.09747678,-0.99985474,0.002012701,-0.006922183,0.0154493805,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460047982,-0.05919735,-0.25060087,-0.10013319,-0.9998359,0.0023632417,-0.006341812,0.01680303,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460080821,-0.06089607,0.11619344,-0.063822314,-0.9998115,0.0031645237,-0.0063894386,0.018060239,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460112867,0.003762958,-0.05856201,-0.09328382,-0.9997891,0.0034331041,-0.005772118,0.01940964,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460144784,-0.07246134,-0.025846861,-0.071823835,-0.9997666,0.0039873463,-0.005056806,0.020621821,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460176906,0.0113972,0.06540354,-0.098006435,-0.9997389,0.004488661,-0.0050068847,0.021841297,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460204973,0.039930653,0.07347431,-0.07514105,-0.9997175,0.0045388276,-0.004891482,0.022817275,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460236640,0.00510309,0.08054045,-0.06951005,-0.9996923,0.0043416778,-0.004648188,0.02397631,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460268772,-0.017326303,-0.014529738,-0.09025258,-0.999665,0.0045490707,-0.004478268,0.02508332,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460300770,0.048148673,0.1685731,-0.079312526,-0.9996377,0.004446702,-0.0043579787,0.026184177,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460332677,0.03546135,-0.08181608,-0.1044062,-0.9996104,0.004084525,-0.0037727705,0.027352026,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460364840,0.03364233,0.022893544,-0.07947369,-0.99958026,0.0037966613,-0.0039386954,0.028450161,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460396804,-0.0834844,0.06815237,-0.124160536,-0.9995393,0.0039665946,-0.0043721083,0.029772725,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460428820,-0.14095491,0.06626943,-0.07102435,-0.9994687,0.0064888247,-0.0070524607,0.031156667,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460457433,0.08372868,0.039126996,-0.07520502,-0.99942446,0.006405939,-0.008693247,0.032157637,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460489614,0.047001198,-0.05226399,-0.08203548,-0.99939805,0.0049986914,-0.0088966675,0.033158407,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460521584,0.053186268,0.038780913,-0.06364723,-0.99937433,0.004913952,-0.008362775,0.034014367,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460553514,0.07431675,-0.20357159,-0.08214943,-0.9993608,0.0034971605,-0.006958082,0.03489137,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460585680,-0.035649367,-0.11155294,-0.017300893,-0.9993433,0.002894566,-0.0063612023,0.035556618,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460617591,0.08652209,-0.0048015555,-0.043677382,-0.99932367,0.0022053893,-0.006199135,0.036178164,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460649611,0.023820406,-0.116268046,-0.009825541,-0.999311,0.0011322754,-0.0055729277,0.03667687,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460677693,0.018901167,0.031260468,-0.045843937,-0.9992987,0.000631167,-0.004953998,0.037111636,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460709767,-0.009388355,-0.29186717,-0.016991057,-0.99928796,0.0005341459,-0.004161222,0.03749495,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460741447,0.06411557,0.040721856,-0.026996408,-0.9992716,-0.0002923519,-0.0037268167,0.037979286,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460773429,-0.006803479,-0.13775247,-0.021634951,-0.9992586,-0.0010425159,-0.0028825796,0.038380627,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460806352,0.038480327,-0.13109338,-0.01908288,-0.9992503,-0.0013614922,-0.0026057363,0.038603514,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460838433,0.039932843,0.041040134,0.02205989,-0.9992496,-0.0021234776,-0.002175134,0.038616538,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460866273,-0.0006534888,-0.0944329,0.01587835,-0.9992511,-0.0026332373,-0.0013707571,0.038581375,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460898517,0.07058903,-0.05125701,0.0014811483,-0.9992513,-0.0030932548,-0.00084130355,0.038556986,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460930381,-0.049364157,-0.11537224,-0.008767146,-0.9992547,-0.003223995,-0.000247258,0.038467567,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460962336,0.01789454,-0.008260789,0.011066885,-0.99925673,-0.0034255676,-0.0001533436,0.03839799,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1460994441,-0.0139448,-0.0015927427,-0.01018527,-0.9992687,-0.0032242215,0.00027577003,0.038102556,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461026255,-0.031846505,-0.17786105,0.030500017,-0.9992853,-0.0033790886,0.0011404329,0.037632283,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461058383,0.019500833,0.024019009,0.010052069,-0.9993033,-0.0032710684,0.001799825,0.037135143,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461090432,-0.05357566,-0.16343392,0.07126645,-0.99932754,-0.0031748149,0.0023308946,0.036454532,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461118409,-0.031723518,0.00043679564,0.023805108,-0.9993484,-0.0029671036,0.002480788,0.03588716,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461150413,-0.07239433,-0.124220364,0.037921943,-0.99937373,-0.002303253,0.0027944287,0.035201482,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461182235,-0.033769716,0.044891626,0.019034168,-0.99940056,-0.0013418503,0.0028336206,0.034479585,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461214384,-0.10100702,-0.20306554,0.07372106,-0.9994297,-0.00051484414,0.0032964454,0.033603813,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461247119,-0.036287233,-0.005002789,0.07374888,-0.9994618,0.0003504896,0.0032548017,0.03264172,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461279201,-0.070002444,0.057995215,0.07243904,-0.99949485,0.00125669,0.0029922752,0.031618956,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461307362,-0.008739809,0.10151562,0.04093816,-0.99952424,0.0018744539,0.0029478585,0.03064552,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
1461339179,-0.082755074,-0.17683712,0.09485603,-0.9995627,0.0023830973,0.0032147835,0.029301394,-0.35588327,-0.0100231925,0.0021978046,0.9344742,1
